X,Z,Flexure_sb_m,Accumulation_sb_m,Xsl,Zsl,Flexure_sl_m
2790000.0,-300.7662467140773,152.87538533095835,-242.435152734167,236.0,-0.1420762371766468,-409.7079618574549
2800000.0,-297.6932984794883,-904.827910415892,1824.0219091222334,241.0,-0.17771804897342156,-500.7082722898974
2800000.0,-297.3078320742554,154.677397667599,-233.47978451257873,239.0,-0.6824517841237001,-464.25436105603956
2810000.0,-306.54248296156845,156.2686093565723,-235.428003342962,245.0,-0.28225784511226243,-568.4485089580805
2820000.0,-329.3267350333611,158.0378770870125,-244.1313486886325,246.0,-1.1482162525054909,-585.0510667882356
2830000.0,-321.3318801111946,159.87253529856406,-253.72317783028348,246.0,-0.8563555108200068,-587.6017818098651
2850000.0,-339.42262213679106,161.5464544226195,-255.6460101546615,245.0,-0.28625135148287173,-573.7204997902523
2850000.0,-326.38232252110356,163.123756341445,-256.85165516405283,250.0,-0.23624684218671357,-658.8985892526958
2850000.0,-322.1062445178505,164.81929940556626,-260.7692759251707,251.0,-0.39997794487479565,-674.3944989685265
2850000.0,-334.7024541218768,166.38376553795896,-267.5929886523348,245.0,-0.038185225263174985,-575.9131285274647
2850000.0,-338.69589679196207,168.0310232538283,-272.7681058759661,246.0,-0.10808621495748223,-592.0161994686273
2850000.0,-332.30014065886303,169.69470854165198,-275.63333606985026,250.0,-0.5400489602981091,-660.2099324865848
2850000.0,-339.78318207308894,171.3626983342631,-277.85664620065984,246.0,-0.7034094433261157,-592.5116903086312
2840000.0,-305.3536289355738,-1042.218985739455,2121.4740993598116,249.0,-0.4953142219507633,-647.1925010076457
2840000.0,-306.4966384799032,-1043.3754449120963,2121.473615441121,248.0,-0.3864105368633323,-626.8057036601407
2840000.0,-305.30757917171803,-1042.2044265605907,2121.4731315792214,248.0,-0.1748988987114978,-626.5336783124686
2840000.0,-300.00058078099306,-1036.9946121826686,2121.472647933172,250.0,-0.02313735987688808,-659.6089109562957
2840000.0,-302.87174068634266,176.09340428475835,-266.3141692957271,249.0,-0.14409143879238853,-646.6157313650684
2840000.0,-305.7857987449252,177.79405310313186,-280.5549235634419,248.0,-0.43205652463552185,-626.7285865260549
2850000.0,-333.4045030492017,-1045.2441031763178,2132.752799367619,248.0,-0.038654157143846325,-626.6533322457325
2850000.0,-340.45453897155573,-1053.2632796886637,2132.7539077506467,243.0,-0.2857410431964784,-544.8237062979695
2870000.0,-325.3839410197769,-1074.5000789616486,2214.277574929182,249.0,-0.8599723034360286,-647.6246268048924
2890000.0,-348.26408292464976,-1111.5795899671762,2298.8439396959543,248.0,-0.7218454188196457,-627.3496120378917
2900000.0,-351.64520344822347,182.69495171921523,-273.20023775049367,247.0,-1.3719620475808623,-612.456145926788
2900000.0,-349.24729227721343,184.27286888893204,-278.5587466984087,247.0,-2.0014296015358615,-611.6421644640421
2900000.0,-346.1134328078711,185.89709425929888,-284.46723014874476,246.0,-0.44527001170984015,-590.7737204905167
2890000.0,-322.46083714249556,187.5603060448224,-293.8022208373504,246.0,-1.0717889890393142,-590.5768598739114
2890000.0,-327.3306347759385,189.20478311383732,-301.52076274852664,246.0,-1.4333981609455722,-590.1477311658878
2910000.0,-387.83460008012315,190.70568325889377,-306.31026953680964,249.0,-0.3587096311936453,-648.5523959821912
